iter	Passed	Remaining
0	140	139969
1	140	70107
2	140	46814
3	141	35169
4	141	28173
5	141	23510
6	142	20175
7	142	17683
8	143	15746
9	143	14198
10	143	12925
11	144	11869
12	144	10970
13	144	10200
14	145	9531
15	145	8947
16	145	8434
17	146	7974
18	146	7561
19	146	7190
20	147	6855
21	147	6554
22	147	6281
23	148	6030
24	148	5797
25	148	5581
26	149	5380
27	149	5195
28	149	5021
29	150	4858
30	150	4707
31	150	4565
32	151	4432
33	151	4307
34	152	4191
35	152	4081
36	152	3975
37	153	3877
38	153	3781
39	153	3690
40	154	3605
41	154	3524
42	154	3446
43	155	3371
44	155	3299
45	155	3231
46	156	3169
47	156	3108
48	157	3051
49	157	2996
50	158	2940
51	158	2887
52	158	2836
53	159	2786
54	159	2738
55	159	2692
56	160	2647
57	160	2605
58	160	2564
59	161	2523
60	161	2484
61	161	2447
62	162	2410
63	162	2375
64	162	2341
65	163	2308
66	163	2276
67	163	2242
68	163	2212
69	164	2183
70	164	2154
71	164	2126
72	165	2099
73	165	2073
74	166	2047
75	166	2022
76	166	1998
77	167	1974
78	167	1952
79	167	1929
80	168	1907
81	168	1886
82	168	1865
83	169	1845
84	169	1824
85	169	1805
86	170	1786
87	170	1769
88	171	1751
89	171	1733
90	171	1716
91	172	1699
92	172	1682
93	172	1665
94	173	1649
95	173	1633
96	173	1619
97	174	1604
98	174	1588
99	174	1574
100	175	1560
101	175	1544
102	175	1530
103	176	1517
104	176	1504
105	176	1491
106	177	1479
107	177	1467
108	178	1455
109	178	1444
110	178	1431
111	179	1420
112	179	1408
113	179	1397
114	180	1386
115	180	1375
116	180	1365
117	181	1354
118	181	1343
119	181	1333
120	182	1323
121	182	1313
122	182	1302
123	182	1292
124	183	1283
125	183	1274
126	184	1266
127	184	1257
128	184	1248
129	185	1239
130	185	1230
131	185	1222
132	186	1213
133	186	1205
134	186	1197
135	187	1189
136	187	1181
137	187	1173
138	188	1165
139	188	1158
140	188	1150
141	189	1143
142	189	1136
143	189	1129
144	190	1122
145	190	1115
146	190	1108
147	191	1101
148	191	1094
149	191	1087
150	192	1080
151	192	1074
152	193	1068
153	193	1062
154	193	1056
155	194	1050
156	194	1043
157	194	1037
158	195	1031
159	195	1025
160	195	1019
161	196	1014
162	196	1008
163	196	1003
164	197	998
165	197	993
166	197	987
167	198	982
168	198	977
169	199	972
170	199	967
171	200	962
172	200	957
173	200	952
174	201	947
175	201	942
176	201	938
177	202	933
178	202	928
179	202	924
180	203	919
181	203	914
182	203	910
183	204	906
184	204	901
185	205	897
186	205	892
187	205	888
188	206	884
189	206	879
190	206	875
191	207	871
192	207	867
193	207	863
194	208	858
195	208	854
196	208	850
197	208	846
198	209	842
199	209	838
200	209	834
201	210	830
202	210	827
203	211	824
204	211	820
205	211	816
206	212	813
207	212	809
208	212	805
209	213	802
210	213	798
211	213	795
212	214	791
213	214	788
214	214	784
215	215	781
216	215	778
217	215	774
218	216	771
219	216	767
220	216	764
221	217	761
222	217	758
223	217	754
224	218	751
225	218	748
226	218	745
227	219	742
228	219	739
229	219	736
230	220	733
231	220	730
232	220	727
233	221	724
234	221	721
235	221	718
236	222	715
237	222	712
238	222	709
239	223	706
240	223	704
241	224	702
242	224	699
243	224	696
244	225	694
245	225	691
246	225	688
247	226	686
248	226	683
249	227	681
250	227	678
251	227	676
252	228	673
253	228	670
254	228	668
255	229	665
256	229	663
257	229	660
258	230	658
259	230	656
260	230	653
261	231	651
262	231	648
263	231	646
264	232	643
265	232	641
266	232	638
267	233	636
268	233	634
269	233	631
270	233	629
271	234	627
272	234	624
273	234	622
274	235	620
275	235	618
276	235	615
277	236	613
278	236	611
279	236	609
280	237	607
281	237	605
282	238	603
283	238	601
284	238	599
285	239	597
286	239	595
287	239	593
288	240	591
289	240	588
290	240	586
291	241	585
292	241	583
293	241	581
294	242	579
295	242	577
296	242	575
297	243	573
298	243	571
299	243	569
300	244	567
301	244	565
302	244	563
303	245	561
304	245	559
305	245	557
306	245	555
307	246	553
308	246	551
309	247	549
310	247	548
311	247	546
312	248	544
313	248	542
314	248	540
315	248	538
316	249	537
317	249	535
318	249	533
319	250	531
320	250	529
321	250	528
322	251	526
323	251	525
324	252	523
325	252	522
326	252	520
327	253	518
328	253	517
329	253	515
330	254	513
331	254	512
332	254	510
333	255	509
334	255	507
335	255	505
336	256	504
337	256	502
338	256	501
339	257	499
340	257	497
341	257	496
342	258	494
343	258	492
344	258	491
345	259	489
346	259	488
347	259	486
348	260	485
349	260	483
350	260	481
351	260	480
352	261	478
353	261	477
354	261	475
355	262	474
356	262	472
357	262	471
358	263	469
359	263	468
360	263	466
361	264	465
362	264	463
363	264	462
364	265	461
365	265	460
366	265	458
367	266	457
368	266	456
369	267	454
370	267	453
371	267	452
372	268	450
373	268	449
374	268	447
375	269	446
376	269	445
377	269	443
378	270	442
379	270	441
380	270	439
381	270	438
382	271	437
383	271	435
384	272	434
385	272	433
386	272	431
387	273	430
388	273	429
389	273	427
390	273	426
391	274	425
392	274	424
393	274	422
394	275	421
395	275	420
396	275	418
397	276	417
398	276	416
399	276	415
400	277	414
401	277	412
402	277	411
403	278	410
404	278	409
405	279	408
406	279	407
407	279	406
408	280	404
409	280	403
410	280	402
411	281	401
412	281	400
413	281	398
414	282	397
415	282	396
416	282	395
417	283	394
418	283	393
419	283	391
420	284	390
421	284	389
422	284	388
423	285	387
424	285	386
425	285	385
426	286	383
427	286	382
428	286	381
429	287	380
430	287	379
431	287	378
432	287	377
433	288	376
434	288	374
435	288	373
436	289	372
437	289	371
438	289	370
439	290	369
440	290	368
441	290	367
442	291	366
443	291	365
444	292	364
445	292	363
446	292	362
447	293	361
448	293	360
449	294	359
450	294	358
451	294	357
452	295	356
453	295	355
454	295	354
455	296	353
456	296	352
457	296	351
458	297	350
459	297	349
460	297	347
461	297	346
462	298	345
463	298	344
464	298	343
465	299	342
466	299	341
467	299	340
468	300	339
469	300	338
470	300	337
471	301	336
472	301	335
473	301	334
474	301	333
475	302	332
476	302	331
477	302	330
478	303	329
479	303	328
480	303	327
481	304	327
482	304	326
483	305	325
484	305	324
485	305	323
486	306	322
487	306	321
488	307	321
489	307	320
490	307	319
491	308	318
492	308	317
493	308	316
494	309	315
495	309	314
496	309	313
497	310	312
498	310	311
499	310	310
500	311	309
501	311	309
502	311	308
503	312	307
504	312	306
505	312	305
506	313	304
507	313	303
508	313	302
509	314	301
510	314	300
511	314	299
512	315	299
513	315	298
514	315	297
515	315	296
516	316	295
517	316	294
518	317	293
519	317	293
520	317	292
521	318	291
522	318	290
523	318	289
524	319	288
525	319	287
526	319	287
527	320	286
528	320	285
529	321	284
530	321	283
531	321	282
532	321	282
533	322	281
534	322	280
535	322	279
536	323	278
537	323	277
538	323	277
539	324	276
540	324	275
541	324	274
542	325	273
543	325	272
544	325	272
545	326	271
546	326	270
547	326	269
548	327	268
549	327	267
550	327	267
551	328	266
552	328	265
553	328	264
554	329	263
555	329	263
556	329	262
557	330	261
558	330	260
559	330	259
560	331	259
561	331	258
562	331	257
563	331	256
564	332	255
565	332	255
566	333	254
567	333	253
568	333	252
569	334	252
570	334	251
571	334	250
572	335	249
573	335	248
574	335	248
575	336	247
576	336	246
577	336	245
578	337	245
579	337	244
580	337	243
581	338	242
582	338	241
583	338	241
584	338	240
585	339	239
586	339	238
587	340	238
588	340	237
589	340	236
590	341	235
591	341	235
592	341	234
593	342	233
594	342	233
595	342	232
596	343	231
597	343	230
598	343	230
599	343	229
600	344	228
601	344	227
602	344	227
603	345	226
604	345	225
605	345	224
606	346	224
607	346	223
608	346	222
609	347	222
610	347	221
611	348	220
612	348	219
613	348	219
614	349	218
615	349	217
616	349	217
617	350	216
618	350	215
619	350	215
620	351	214
621	351	213
622	351	212
623	352	212
624	352	211
625	352	210
626	353	210
627	353	209
628	353	208
629	354	207
630	354	207
631	354	206
632	355	205
633	355	205
634	355	204
635	356	203
636	356	203
637	356	202
638	357	201
639	357	201
640	357	200
641	358	199
642	358	198
643	358	198
644	359	197
645	359	196
646	359	196
647	360	195
648	360	194
649	360	194
650	361	193
651	361	193
652	361	192
653	362	191
654	362	190
655	362	190
656	363	189
657	363	188
658	363	188
659	364	187
660	364	186
661	364	186
662	365	185
663	365	184
664	365	184
665	366	183
666	366	182
667	366	182
668	367	181
669	367	180
670	367	180
671	368	179
672	368	179
673	368	178
674	369	177
675	369	177
676	369	176
677	370	175
678	370	175
679	370	174
680	371	173
681	371	173
682	371	172
683	372	171
684	372	171
685	372	170
686	373	169
687	373	169
688	373	168
689	374	168
690	374	167
691	375	166
692	375	166
693	375	165
694	375	164
695	376	164
696	376	163
697	376	163
698	377	162
