iter	Passed	Remaining
0	135	135329
1	135	67848
2	136	45351
3	136	34088
4	137	27318
5	137	22802
6	137	19576
7	138	17152
8	138	15267
9	138	13755
10	139	12520
11	139	11490
12	139	10617
13	140	9870
14	140	9221
15	140	8654
16	141	8154
17	141	7709
18	141	7310
19	141	6951
20	142	6627
21	142	6332
22	142	6063
23	143	5816
24	143	5589
25	143	5379
26	143	5185
27	144	5005
28	144	4836
29	144	4680
30	145	4535
31	145	4397
32	145	4268
33	145	4146
34	146	4032
35	146	3923
36	146	3821
37	147	3724
38	147	3634
39	147	3547
40	148	3464
41	148	3385
42	148	3310
43	149	3240
44	149	3174
45	149	3109
46	150	3045
47	150	2984
48	150	2926
49	151	2871
50	151	2817
51	151	2765
52	152	2715
53	152	2667
54	152	2621
55	152	2576
56	153	2533
57	153	2492
58	153	2452
59	154	2413
60	154	2376
61	154	2339
62	154	2304
63	155	2270
64	155	2237
65	155	2204
66	156	2173
67	156	2143
68	156	2113
69	156	2085
70	157	2057
71	157	2030
72	157	2003
73	158	1978
74	158	1953
75	158	1929
76	158	1905
77	159	1882
78	159	1859
79	159	1837
80	160	1816
81	160	1795
82	160	1773
83	160	1753
84	161	1734
85	161	1715
86	161	1697
87	162	1679
88	162	1661
89	162	1644
90	162	1627
91	163	1610
92	163	1595
93	163	1580
94	164	1565
95	164	1550
96	164	1534
97	165	1520
98	165	1506
99	165	1491
100	166	1478
101	166	1464
102	166	1451
103	166	1438
104	167	1425
105	167	1412
106	167	1400
107	168	1388
108	168	1376
109	168	1364
110	168	1352
111	169	1341
112	169	1330
113	169	1319
114	170	1308
115	170	1297
116	170	1287
117	170	1277
118	171	1267
119	171	1257
120	171	1247
121	172	1238
122	172	1229
123	172	1219
124	172	1210
125	173	1201
126	173	1192
127	173	1184
128	174	1175
129	174	1167
130	174	1158
131	174	1150
132	175	1143
133	175	1135
134	176	1127
135	176	1120
136	176	1112
137	176	1104
138	177	1097
139	177	1089
140	177	1082
141	177	1074
142	178	1067
143	178	1060
144	178	1055
145	179	1048
146	179	1042
147	180	1036
148	180	1029
149	180	1023
150	180	1017
151	181	1011
152	181	1005
153	181	999
154	182	993
155	182	987
156	182	981
157	183	975
158	183	969
159	183	964
160	183	957
161	184	952
162	184	947
163	184	941
164	185	936
165	185	931
166	185	925
167	185	920
168	186	915
169	186	910
170	186	905
171	186	900
172	187	895
173	187	890
174	187	885
175	188	880
176	188	876
177	188	871
178	189	867
179	189	863
180	189	858
181	190	854
182	190	849
183	190	845
184	190	841
185	191	837
186	191	833
187	191	828
188	192	824
189	192	820
190	192	816
191	193	812
192	193	808
193	193	804
194	193	800
195	194	796
196	194	793
197	194	789
198	195	785
199	195	781
200	195	777
201	195	774
202	196	770
203	196	766
204	196	763
205	197	759
206	197	756
207	197	752
208	197	749
209	198	745
210	198	742
211	198	738
212	199	735
213	199	732
214	199	728
215	199	725
216	200	722
217	200	718
218	200	715
219	200	712
220	201	709
221	201	706
222	201	703
223	202	700
224	202	697
225	202	694
226	203	691
227	203	688
228	203	685
229	203	682
230	204	679
231	204	676
232	204	674
233	205	671
234	205	668
235	205	665
236	205	662
237	206	659
238	206	657
239	206	654
240	206	651
241	207	649
242	207	646
243	207	643
244	208	641
245	208	638
246	208	635
247	208	633
248	209	630
249	209	628
250	209	626
251	210	624
252	210	621
253	210	619
254	211	616
255	211	614
256	211	612
257	212	609
258	212	607
259	212	604
260	212	602
261	213	600
262	213	598
263	213	595
264	213	593
265	214	591
266	214	589
267	214	586
268	215	584
269	215	582
270	215	580
271	215	577
272	216	575
273	216	573
274	216	571
275	217	569
276	217	567
277	217	565
278	218	563
279	218	561
280	218	559
281	218	557
282	219	555
283	219	553
284	219	551
285	220	549
286	220	547
287	220	545
288	220	543
289	221	541
290	221	539
291	221	537
292	222	535
293	222	534
294	222	532
295	222	530
296	223	528
297	223	526
298	223	525
299	224	523
300	224	522
301	225	520
302	225	518
303	225	516
304	226	515
305	226	513
306	226	511
307	227	510
308	227	508
309	227	506
310	227	504
311	228	503
312	228	501
313	228	499
314	229	498
315	229	496
316	229	494
317	229	493
318	230	491
319	230	489
320	230	488
321	231	486
322	231	485
323	232	484
324	232	482
325	232	481
326	233	479
327	233	478
328	233	476
329	233	474
330	234	473
331	234	471
332	234	470
333	235	468
334	235	467
335	235	465
336	235	464
337	236	462
338	236	460
339	236	459
340	236	458
341	237	456
342	237	455
343	237	453
344	238	452
345	238	450
346	238	449
347	238	447
348	239	446
349	239	444
350	239	443
351	240	442
352	240	440
353	240	439
354	241	438
355	241	436
356	241	435
357	241	433
